Date,GD=F,^GSPC,^IXIC
2015-01-27,380.5,2029.550048828125,4681.5
2015-01-28,377.04998779296875,2002.1600341796875,4637.990234375
2015-01-29,376.0,2021.25,4683.41015625
2015-01-30,387.5,1994.989990234375,4635.240234375
2015-02-02,396.0,2020.8499755859375,4676.68994140625
2015-02-03,414.0,2050.030029296875,4727.740234375
2015-02-04,396.6000061035156,2041.510009765625,4716.7001953125
2015-02-05,404.04998779296875,2062.52001953125,4765.10009765625
2015-02-06,409.04998779296875,2055.469970703125,4744.39990234375
2015-02-09,414.8999938964844,2046.739990234375,4726.009765625
2015-02-10,404.8500061035156,2068.590087890625,4787.64013671875
2015-02-11,400.45001220703125,2068.530029296875,4801.18017578125
2015-02-12,411.45001220703125,2088.47998046875,4857.60986328125
2015-02-13,420.6499938964844,2096.989990234375,4893.83984375
2015-02-17,427.1499938964844,2100.340087890625,4899.27001953125
2015-02-18,419.75,2099.679931640625,4906.35986328125
2015-02-19,417.29998779296875,2097.449951171875,4924.7001953125
2015-02-20,416.20001220703125,2110.300048828125,4955.97021484375
2015-02-23,409.54998779296875,2109.659912109375,4960.97021484375
2015-02-24,409.79998779296875,2115.47998046875,4968.1201171875
2015-02-25,419.3500061035156,2113.860107421875,4967.14013671875
2015-02-26,412.70001220703125,2110.739990234375,4987.89013671875
2015-02-27,419.5,2104.5,4963.52978515625
2015-03-02,412.75,2117.389892578125,5008.10009765625
2015-03-03,417.0,2107.780029296875,4979.89990234375
2015-03-04,417.5,2098.530029296875,4967.14013671875
2015-03-05,414.95001220703125,2101.0400390625,4982.81005859375
2015-03-06,409.25,2071.260009765625,4927.3701171875
2015-03-09,408.95001220703125,2079.429931640625,4942.43994140625
2015-03-10,400.6499938964844,2044.1600341796875,4859.7900390625
2015-03-11,401.6000061035156,2040.239990234375,4849.93994140625
2015-03-12,399.0,2065.949951171875,4893.2900390625
2015-03-13,389.0,2053.39990234375,4871.759765625
2015-03-16,384.32000732421875,2081.18994140625,4929.509765625
2015-03-17,386.8999938964844,2074.280029296875,4937.43017578125
2015-03-18,398.0,2099.5,4982.830078125
2015-03-19,391.3999938964844,2089.27001953125,4992.3798828125
2015-03-20,398.0,2108.10009765625,5026.419921875
2015-03-23,402.1499938964844,2104.419921875,5010.97021484375
2015-03-24,400.0,2091.5,4994.72998046875
2015-03-25,405.0,2061.050048828125,4876.52001953125
2015-03-26,412.95001220703125,2056.14990234375,4863.35986328125
2015-03-27,402.0,2061.02001953125,4891.22021484375
2015-03-30,402.70001220703125,2086.239990234375,4947.43994140625
2015-03-31,396.8999938964844,2067.889892578125,4900.8798828125
2015-04-01,405.95001220703125,2059.68994140625,4880.22998046875
2015-04-02,401.0,2066.9599609375,4886.93994140625
2015-04-06,412.5,2080.6201171875,4917.31982421875
2015-04-07,418.29998779296875,2076.330078125,4910.22998046875
2015-04-08,403.0,2081.89990234375,4950.81982421875
2015-04-09,405.0,2091.179931640625,4974.56005859375
2015-04-10,408.45001220703125,2102.06005859375,4995.97998046875
2015-04-13,409.0,2092.429931640625,4988.25
2015-04-14,413.5,2095.840087890625,4977.2900390625
2015-04-15,426.54998779296875,2106.6298828125,5011.02001953125
2015-04-16,434.3999938964844,2104.989990234375,5007.7900390625
2015-04-17,431.6000061035156,2081.179931640625,4931.81005859375
2015-04-20,430.95001220703125,2100.39990234375,4994.60009765625
2015-04-21,425.6499938964844,2097.2900390625,5014.10009765625
2015-04-22,427.0,2107.9599609375,5035.169921875
2015-04-23,435.0,2112.929931640625,5056.06005859375
2015-04-24,435.6000061035156,2117.68994140625,5092.080078125
2015-04-27,434.0,2108.919921875,5060.25
2015-04-28,434.0,2114.760009765625,5055.419921875
2015-04-29,440.54998779296875,2106.85009765625,5023.64013671875
2015-04-30,445.1000061035156,2085.510009765625,4941.419921875
2015-05-01,443.75,2108.2900390625,5005.39013671875
2015-05-04,444.0,2114.489990234375,5016.93017578125
2015-05-05,450.1499938964844,2089.4599609375,4939.330078125
2015-05-06,450.70001220703125,2080.14990234375,4919.64013671875
2015-05-07,441.0,2088.0,4945.5400390625
2015-05-08,443.5,2116.10009765625,5003.5498046875
2015-05-11,440.95001220703125,2105.330078125,4993.56982421875
2015-05-12,448.95001220703125,2099.1201171875,4976.18994140625
2015-05-13,448.25,2098.47998046875,4981.68994140625
2015-05-14,449.0,2121.10009765625,5050.7998046875
2015-05-15,448.6600036621094,2122.72998046875,5048.2900390625
2015-05-18,448.79998779296875,2129.199951171875,5078.43994140625
2015-05-19,437.6000061035156,2127.830078125,5070.02978515625
2015-05-20,440.5,2125.85009765625,5071.740234375
2015-05-21,448.70001220703125,2130.820068359375,5090.7900390625
